[0714/123155.709:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x150c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/142113.498:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a44001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/142114.001:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a44001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/142114.508:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a44001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/143832.141:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/143832.665:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/143833.159:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/143833.657:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/144039.742:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1934001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/144040.244:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1934001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/144040.743:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1934001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/144041.244:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1934001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/152929.633:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ff4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/152930.138:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ff4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/152930.641:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ff4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/152931.148:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ff4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/153210.638:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x247c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/153211.143:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x247c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/153211.648:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x247c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/153212.141:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x247c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/155458.381:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cec001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/155458.893:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cec001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/155459.400:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cec001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/155459.889:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cec001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/161543.538:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3444001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/161544.052:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3444001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/161544.552:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3444001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/161545.046:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3444001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/163448.702:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a54001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/163449.207:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a54001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/163449.718:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a54001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0716/163450.205:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a54001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
